diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
brachytelephalangy-dysmorphism-Kallmann syndrome,Q55780389, , ,, , , , , , , , , , , ,Q87.0,"C1862081,C2931421",C537101, , , ,BRACHYTELEPHALANGY WITH CHARACTERISTIC FACIES AND KALLMANN SYNDROME
Camptobrachydactyly,Q55780400, , ,, , , , , , , , , , , ,Q74.8,C1861963,C537967, , , ,"CAMPTOBRACHYDACTYLY,Short foot/brachydactyly of toes, camptodactyly , brachydactyly"
craniofaciofrontodigital syndrome,Q55780402, , ,, , , , , , , , , , , ,Q87.0,C2676032,C567298, , , ,"CRANIOFACIOFRONTODIGITAL SYNDROME,Cantu Craniofaciofrontodigital Syndrome"
cataract-aberrant oral frenula-growth delay syndrome,Q55780409, , ,, , , , , , , , , , , ,Q87.8,C1861835,C536691, , , ,"CATARACT, ABERRANT ORAL FRENULA, AND GROWTH RETARDATION,Wellesley-Carman-French syndrome"
Chiari malformation type I,Q55780415, , ,, , , , , , , , , , , ,G95.0,"C0750929,C1861647", , , ,human disease,"Arnold-Chiari malformation type 1,Arnold-Chiari malformation type I,CHIARI MALFORMATION TYPE I,Chiari Malformation Type 1 With Syringomyelia,Chiari malformation type 1,Cm1,Cm1 With Syringomyelia"
Coxoauricular syndrome,Q55780452, , ,, , , , , , , , , , , ,Q87.1,C1852513,C565148, , , ,COXOAURICULAR SYNDROME
"dysostosis, Stanescu type",Q55780455, , ,, , , , , , , , , , , ,Q78.8,C0432263,C562974, , ,Stanescu type dysostosis is a rare form of osteosclerosis,"Autosomal dominant osteosclerosis, Stanescu type,CRANIOFACIAL DYSOSTOSIS WITH DIAPHYSEAL HYPERPLASIA,Craniofacial dysostosis-diaphyseal hyperplasia syndrome,Osteosclerosis, Stanescu Type,Stanescu osteosclerosis"
cryptomicrotia-brachydactyly-excess fingertip arch syndrome,Q55780463, , ,, , , , , , , , , , , ,Q87.8,C1852454,C536219, , , ,"Cryptomicrotia-brachydactyly syndrome,Tonoki-Ohura-Niikawa syndrome"
Cyprus facial-neuromusculoskeletal syndrome,Q55780466, , ,, , , , , , , , , , , ,Q87.8,C1852396,C536229, , ,"Cyprus facial-neuromusculoskeletal syndrome is an exceedingly rare, genetic malformation syndrome characterized by a striking facial appearance, variable skeletal deformities, and neurological defects","CYPRUS FACIAL NEUROMUSCULOSKELETAL SYNDROME,Unusual facial appearance, skeletal deformities, and musculoskeletal and sensory defects"
"digitotalar dysmorphism; ulnar drift, hereditary",Q55780497, , ,, , , , , , , , , , , , ,C1852085, , , ,human disease,"DIGITOTALAR DYSMORPHISM,Ulnar Drift, Hereditary"
short stature-valvular heart disease-characteristic facies syndrome,Q55780500, , ,, , , , , , , , , , , ,Q87.1,C1852073,C565094, , , ,DISPROPORTIONATE SHORT STATURE WITH PTOSIS AND VALVULAR HEART LESIONS
calvarial doughnut lesions-bone fragility syndrome,Q55780509, , ,, , , , , , , , , , , ,M85.8,C1852022,C565089, , ,This syndrome is characterised by multiple doughnut-shaped hyperostotic or osteosclerotic lesions of the calvaria,"DOUGHNUT LESIONS OF SKULL, FAMILIAL,Familial doughnut lesions of skull"
dyschondrosteosis-nephritis syndrome,Q55780516, , ,, , , , , , , , , , , ,Q87.8,C1851986,C565080, , ,"Dyschondrosteosis - nephritis is characterized by the association of short stature due to mesomelic shortening of the limbs and Madelung deformity (see this term), with hereditary nephritis","DYSCHONDROSTEOSIS AND NEPHRITIS,Dyschondrosteosis nephritis,Mesomelic shortening and hereditary nephritis"
carpotarsal osteochondromatosis,Q55780519, , ,, , , , , , , , , , , ,D16.9,"C1300233,C1851956",C565076, , ,Carpotarsal osteochondromatosis is a very rare primary bone dysplasia disorder characterized by abnormal bone proliferation and osteochondromas in the upper and lower limbs,"DYSPLASIA EPIPHYSEALIS HEMIMELICA WITH CHONDROMAS AND OSTEOCHONDROMAS,Dominant carpotarsal osteochondromatosis,Maroteaux Le Merrer Bensahel syndrome,Maroteaux-Le Merrer-Bensahel syndrome,Osteochondromatosis, Dominant Carpotarsal"
"ectodermal dysplasia, trichoodontoonychial type",Q55780530, , ,, , , , , , , , , , , ,Q82.4,C1851858,C565068, , , ,"ECTODERMAL DYSPLASIA, TRICHOODONTOONYCHIAL TYPE,Ectodermal dysplasia trichoodontoonychial type"
"Ehlers-Danlos syndrome, autosomal dominant, type unspecified",Q55780544, , ,, , , , , , , , , , , , ,C0220679,C562424, , ,human disease,"EDS, Unspecified Type,EHLERS-DANLOS SYNDROME, AUTOSOMAL DOMINANT, TYPE UNSPECIFIED,Ehlers-Danlos Syndrome, Friedman-Harrod Type"
exostoses-anetodermia-brachydactyly type E syndrome,Q55780574, , ,, , , , , , , , , , , ,Q87.5,C1851428,C565034, , , ,"EXOSTOSES WITH ANETODERMIA AND BRACHYDACTYLY, TYPE E"
extrasystoles-short stature-hyperpigmentation-microcephaly syndrome,Q55780580, , ,, , , , , , , , , , , , ,C1851412,C565032, , ,human disease,"Char-Douglas-Dungan syndrome,EXTRASYSTOLES, MULTIFORM VENTRICULAR, WITH SHORT STATURE, HYPERPIGMENTATION AND MICROCEPHALY"
pleural desmoplastic mesothelioma,Q53673073, , ,"Dense Collagenized Tissue Present,Diffuse Pattern,Malignant Cellular Infiltrate,Anorexia,Chest Pain,Chills,Dyspnea,Fatigue,Malaise,Pleural Effusion,Storiform Growth Pattern,Sweating,Weight Loss", , , , , , , , , , , , , , ,C45664, , , 
pleural epithelioid mesothelioma,Q53673082, , ,"Diffuse Pattern,Epithelioid Differentiation,Malignant Cellular Infiltrate,Anorexia,Chest Pain,Chills,Dyspnea,Fatigue,Malaise,Microglandular Pattern,Papillary Growth Pattern,Pleural Effusion,Sheet-Like Growth Pattern,Sweating,Tubular Pattern,Weight Loss", , , , , , , , , , , , , , ,C45662, , , 
pleural sarcomatoid mesothelioma,Q53673094, , ,"Diffuse Pattern,Malignant Cellular Infiltrate,Anaplastic Lesion,Anorexia,Chest Pain,Chills,Dyspnea,Fatigue,Malaise,Pleural Effusion,Sweating,Weight Loss", , , , , , , , , , , , , , ,C45663, , , 
Epstein-Barr virus-related Burkitt lymphoma,Q53673205, , ,"Malignant Cellular Infiltrate,Starry Sky Pattern,Aggressive Clinical Course,Bulky Disease,Lymphadenopathy", , , , , , ,Epstein–Barr virus infection,Q5384031, , , , , , ,C27694, , , 
adult Burkitt lymphoma,Q53673228, , ,"Adulthood Lesion,Aggressive Clinical Course,Bone Marrow and Blood Involvement,Malignant Cellular Infiltrate", , , , , , ,Epstein–Barr virus infection,Q5384031, , , , ,C0279591, ,C7954, , ,Adult Burkitt Leukemia
childhood acute monocytic leukemia,Q53673253, , ,"Cells of Monocytic Lineage 80 Percent or More of Bone Marrow Leukemic Cells,Childhood Lesion,Malignant Cellular Infiltrate,Neoplastic Promonocytes in Bone Marrow Markedly Increased,Hemophagocytosis,Hypercellular Bone Marrow,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C9163, ,acute monocytic leukemia occurring in children, 
adult acute myeloid leukemia,Q53673331, , ,"Adulthood Lesion,Malignant Cellular Infiltrate,Hypercellular Bone Marrow", , , , , , , , , , , , , , ,C9154, ,acute myeloid leukemia occuring during adult life, 
ovarian serous cystadenocarcinoma,Q53673344, , ,"Carcinomatous Component Present,Cystic Change,Cysts Containing Proteinaceous Fluid Present,Epithelial Component Present,Malignant Cellular Infiltrate,Stromal Invasion,Abdominal Mass,Ascites,Psammoma Body Formation,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C7978, , , 
buccal mucosa squamous cell carcinoma,Q53678354, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C4040, , , 
floor of mouth basaloid squamous cell carcinoma,Q53678370, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Monomorphic Cellular Infiltrate,Peripheral Nuclear Palisading", , , , , , , , , , , , , , ,C129873, , , 
gingival squamous cell carcinoma,Q53678376, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , ,smoking,Q662860, , , , , , , , ,C129857, , , 
tonsillar squamous cell carcinoma,Q53678390, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C8183, , , 
retromolar trigone squamous cell carcinoma,Q53678396, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C8172, , , 
pyriform fossa squamous cell carcinoma,Q53678400, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Dysphagia,Hemoptysis,Neck Mass", , , , , , , , , , , , ,C0748214, ,C4943, , ,Epidermoid Carcinoma of Piriform Sinus
oropharyngeal squamous cell carcinoma,Q53678403, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C8181, , , 
hypopharyngeal squamous cell carcinoma,Q53678413, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Dysphagia,Hemoptysis,Neck Mass", , , , , , , , , , , , , , ,C4043, , , 
lower gingival squamous cell carcinoma,Q53678424, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C8171, , , 
nasal cavity and paranasal sinus squamous cell carcinoma,Q53678428, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C68611, , , 
clear cell sarcoma of soft tissue,Q53705006, , ,"Fascicular Pattern,Malignant Cellular Infiltrate,Metastatic/Recurrent Disease,Nested Pattern,Tissue Differentiation Uncertain,Melanosomes Present,Slow Growing Mass", , , , , , , , , , , , , , ,C3745, , ,"clear cell sarcoma of soft parts,malignant melanoma of soft parts,malignant melanoma of soft tissues,melanoma, malignant, of soft parts"
upper gingival squamous cell carcinoma,Q53706152, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , , , , , , , , , , , ,C8173, , , 
micropapillary lung adenocarcinoma,Q53706541, , ,"Carcinomatous Component Present,Epithelial Component Present,Invasive Lesion,Malignant Cellular Infiltrate,Micropapillary Growth Pattern,Papillary Growth Pattern,Aggressive Clinical Course,Cough,Dyspnea,Fever,Hemoptysis", , , , , , , , , , , , , , ,C128847, , , 
childhood acute megakaryoblastic leukemia,Q53709927, , ,"Childhood Lesion,Malignant Cellular Infiltrate,Megakaryoblasts 50 Percent or More of Bone Marrow Nucleated Cells,Aggressive Clinical Course,Bone Marrow Fibrosis,Hypercellular Bone Marrow,Thrombocytopenia", , , , , , , , , , , , , , ,C7972, , , 
adult acute megakaryoblastic leukemia,Q53709932, , ,"Adulthood Lesion,Malignant Cellular Infiltrate,Megakaryoblasts 50 Percent or More of Bone Marrow Nucleated Cells,Aggressive Clinical Course,Bone Marrow Fibrosis,Hypercellular Bone Marrow,Thrombocytopenia", , , , , , , , , , , , , , ,C7965, , , 
rectosigmoid adenocarcinoma,Q53714567, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Abdominal Pain,Constipation,Lower Gastrointestinal Hemorrhage,Tenesmus,Weight Loss", , , , , , , , , , , , , , ,C43584, , ,rectosigmoid cancer
childhood acute myeloid leukemia with maturation,Q53715235, , ,"Childhood Lesion,Malignant Cellular Infiltrate,Myeloblasts 20 Percent or More of Bone Marrow Nucleated Cells,Promyelocytes, Myelocytes, and Mature Neutrophils 10 Percent or More of Bone Marrow Cells,Auer Rods Present,Bone Marrow Dysplasia Present,Hypercellular Bone Marrow", , , , , , , , , , , , , , ,C9381, , , 
natural killer cell lymphoblastic leukemia/lymphoma,Q53716377, , ,"Blasts Expressing CD56 and Immature T-Cell Markers Present,Malignant Cellular Infiltrate,Hepatomegaly,Lymphadenopathy", , , , , , , , , , , , , , ,C82217, , ,NK cell lymphoblastic leukemia/lymphoma
sporadic retinoblastoma,Q53843472, , ,"Malignant Cellular Infiltrate,Non-Hereditary Lesion,Calcification,Flexner-Wintersteiner Rosette Formation,Homer Wright Rosette Formation,Necrotic Change", , , , , , , , , , , , , , ,C42596, , , 
muscular dystrophy-dystroglycanopathy type B2,Q53844137, , ,, , , , , , , , , , , , , , ,C126690, , ,"MDDGB2,congenital muscular dystrophy-dystroglycanopathy with mental retardation type B2"
hindgut carcinoid tumor,Q53844328, , ,"Chromogranin-A Positive Neoplastic Cells Present,Epithelial Component Present,Neuroendocrine Differentiation,Neuron-Specific Enolase Positive Neoplastic Cells Present,Organoid Pattern,Rosette Formation,Trabecular Pattern", , , , , , , , , , , , , , ,C6423, , , 
midgut carcinoid tumor,Q53844335, , ,"Chromogranin-A Positive Neoplastic Cells Present,Epithelial Component Present,Low Mitotic Activity,Neuroendocrine Differentiation,Well Differentiated Neuroendocrine Lesion,Neuron-Specific Enolase Positive Neoplastic Cells Present", , , , , , , , , , , , ,C1334763, ,C6422, ,disease,Midgut Neuroendocrine Tumor G1
Miyoshi muscular dystrophy 1,Q53844391, , ,, , , , , , , , , , , , ,C1850808, ,C118846, ,Miyoshi muscular dystrophy that has material basis in mutation in the DYSF gene on chromosome 2p13,"MMD1,Miyoshi myopathy,Miyoshi myopathy 1"
vaginal squamous cell carcinoma,Q53844542, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,p16 Immunohistochemistry or HPV Testing Status Unknown", , , , , , , , , , , , , , ,C7736, , ,vaginal squamous cell carcinoma
tonsillar neoplasm,Q53844576, , ,, , , , , , , , , , , , ,C0040422,D014067,C3417, ,neoplasm (disease) that involves the tonsil,"Neoplasm of the Tonsil,Tonsil Tumor,Tonsillar Neoplasm,Tonsillar Neoplasms,Tonsillar Tumor,Tumor of Tonsil,Tumor of the Tonsil,neoplasm of tonsil,tonsil neoplasm,tonsil neoplasm (disease)"
benign parathyroid gland neoplasm,Q53844581, , ,Benign Cellular Infiltrate, , , , , , , , , , ,227.1,D35.1,C0154041, ,C3630, ,benign neoplasm that involves the parathyroid gland,"Benign Neoplasm of Parathyroid,Benign Neoplasm of the Parathyroid,Benign Neoplasm of the Parathyroid Gland,Benign Parathyroid Gland Neoplasm,Benign Parathyroid Gland Tumor,Benign Parathyroid Neoplasm,Benign Parathyroid Tumor,Benign Tumor of Parathyroid,Benign Tumor of Parathyroid Gland,Benign Tumor of the Parathyroid,Benign Tumor of the Parathyroid Gland,Parathyroid Tumor Benign,benign neoplasm of parathyroid gland,parathyroid gland benign neoplasm"
liver adenosquamous carcinoma,Q53844662, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Mixed Cellular Population,Mixed Malignant Epithelial Cell Population", , , , , , , , , , , , , , ,C118630, , , 
adult B acute lymphoblastic leukemia with t(9;22)(q34;q11.2) BCR-ABL1,Q53844679, , ,"Adulthood Lesion,Malignant Cellular Infiltrate,Recurrent Genetic Abnormalities Present,Bone Pain,Coarse Azurophilic Granules Present,Extensive Bone Marrow and Blood Involvement,Granulocytopenia,Hepatomegaly,Lymphadenopathy,Splenomegaly,Thrombocytopenia,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C114819, , , 
childhood B acute lymphoblastic leukemia with t(9;22)(q34;q11.2) BCR-ABL1,Q53844683, , ,"Childhood Lesion,Malignant Cellular Infiltrate,Recurrent Genetic Abnormalities Present,Bone Pain,Coarse Azurophilic Granules Present,Extensive Bone Marrow and Blood Involvement,Granulocytopenia,Hepatomegaly,Lymphadenopathy,Splenomegaly,Thrombocytopenia,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C68659, , , 
oral cavity leukoplakia,Q53844904, , ,, , , , , , , , , , , , , , ,C36262, , , 
thymus neoplasm,Q53844926, , ,, , , , , , , , , , ,239.89, ,C3714644,D013953,C3412, ,"neoplasm that affects the thymus, including thymoma and carcinoma","Neoplasm of Thymus,Neoplasm of the Thymus,Thymic Neoplasm,Thymus Neoplasm,Thymus Neoplasms,Thymus Tumor,Tumor of Thymus,Tumor of the Thymus,thymic tumor,thymus neoplasm (disease)"
gastric choriocarcinoma,Q53845013, , ,"Human Chorionic Gonadotropin-Positive Neoplastic Cells Present,Malignant Cellular Infiltrate,Hemorrhage,Necrotic Change", , , , , , , , , , , , ,C2987398, ,C95749, ,A malignant germ cell tumor that arises from the stomach. It is characterized by the presence of syncytiotrophoblast and cytotrophoblast cellular components. It is often associated with lymph node and hematogenous metastases.,Gastric Choriocarcinoma
gingival spindle cell carcinoma,Q53845021, , ,"Anaplastic Lesion,Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate,Poorly Differentiated Lesion,Aggressive Clinical Course", , , , , , , , , , , , , , ,C129289, , , 
high grade ovarian serous adenocarcinoma,Q53845076, , ,"Carcinomatous Component Present,Epithelial Component Present,High Grade Lesion,High Mitotic Activity,Malignant Cellular Infiltrate,Stromal Invasion,Abdominal Mass,Ascites,Psammoma Body Formation,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C105555, , , 
low grade ovarian serous adenocarcinoma,Q53845081, , ,"Carcinomatous Component Present,Epithelial Component Present,Low Grade Lesion,Low Mitotic Activity,Malignant Cellular Infiltrate,Stromal Invasion,Abdominal Mass,Ascites,Psammoma Body Formation,Unfavorable Clinical Outcome", , , , , , , , , , , , , , ,C105556, , , 
diffuse large B-cell lymphoma activated B-cell type,Q53845108, , ,"Diffuse Pattern,Increased NFkappaB Pathway Activation,Malignant Cellular Infiltrate,Aggressive Clinical Course,Lymphadenopathy", , , , , , , , , , , , , , ,C36081, , , 
